"","logFC","logCPM","PValue"
"miRNA_ENSG00000216035.1__29602309__29602339",-2.45532000821859,-3.09652259543565,0.0371739375930595
"miRNA_ENSG00000284265.1__35641172__35641202",2.18642325219272,-0.998882361405006,0.00460665251052469
"miRNA_ENSG00000284265.1__35641187__35641217",2.29791747335722,-0.915065034950654,0.00253328863045877
"miRNA_ENSG00000284265.1__35641202__35641232",2.34481808748452,-0.879262809463923,0.00240899350420702
"miRNA_ENSG00000263795.1__42997608__42997638",2.31421146418715,-2.0239413261567,0.0409538068932162
"miRNA_ENSG00000221063.3__63372987__63373017",-3.88419666641008,3.52878843550122,5.25723848841819e-20
"miRNA_ENSG00000221063.3__63373002__63373032",-3.88419690316281,3.52878843550122,5.28272994274742e-20
"miRNA_ENSG00000221063.3__63373017__63373047",-3.88419696084541,3.52878843550122,5.28895933591922e-20
"miRNA_ENSG00000276866.1__67403351__67403381",-2.29694234363515,-1.07302772546973,0.000169976511996909
"miRNA_ENSG00000221184.1__68759363__68759393",2.23398365254959,-1.3549593079782,0.0260843179340285
"miRNA_ENSG00000221184.1__68759378__68759408",2.2112176819163,-1.37088680894807,0.0271589305126735
"miRNA_ENSG00000283672.1__87503911__87503941",2.21939003643183,-2.0473854048101,0.0290420719983974
"miRNA_ENSG00000283672.1__87503941__87503954",2.2193831139164,-2.0473854048101,0.0290291541638856
"miRNA_ENSG00000198997.2__89592792__89592822",-4.41139025729592,-2.57669919658304,2.61887715737518e-06
"miRNA_ENSG00000207976.1__96828714__96828744",2.32046086824643,0.00393721167014864,0.000981350744052
"miRNA_ENSG00000207976.1__96828729__96828759",2.32045484115796,0.00393721167014864,0.000977986216124534
"miRNA_ENSG00000264610.1__98431292__98431322",2.45448743601277,1.42108719907312,8.60550528311225e-05
"miRNA_ENSG00000264610.1__98431307__98431337",2.45448784771527,1.42108719907312,8.59432089403363e-05
"miRNA_ENSG00000274056.1__98924529__98924559",-2.58600966082048,-2.19392280833949,0.040286844954476
"miRNA_ENSG00000274056.1__98924559__98924568",-2.58605178996406,-2.19392280833949,0.0402500721486813
"miRNA_ENSG00000283558.1__101601417__101601447",2.9110200778016,4.99363713496679,5.60999671102533e-08
"miRNA_ENSG00000283558.1__101601432__101601462",2.91102021965666,4.99363713496679,5.57733899410865e-08
"miRNA_ENSG00000263436.1__101601447__101601477",2.96918913039802,5.03467959344098,1.15162532963133e-07
"miRNA_ENSG00000283558.1__101601447__101601477",3.003487583572,4.88415329893859,2.49167744837661e-08
"miRNA_ENSG00000263436.1__101601462__101601492",2.98509784946903,5.03269541196363,9.70912323787771e-08
"miRNA_ENSG00000283867.1__103394328__103394358",-2.0863545137265,6.08476670656012,1.33307539163068e-11
"miRNA_ENSG00000283867.1__103394343__103394373",-2.0863545273706,6.08476670656012,1.33922534021905e-11
"miRNA_ENSG00000283867.1__103394358__103394388",-2.08648258183924,6.08454102541784,1.33175925077659e-11
"miRNA_ENSG00000283688.1__112299612__112299642",5.31540751233221,-1.71552364259824,0.00210315829770139
"miRNA_ENSG00000283688.1__112299627__112299657",5.31540454735439,-1.71552364259824,0.00209971811051571
"miRNA_ENSG00000276857.1__112299642__112299672",7.24631328875736,-0.19269706290814,4.12899962254117e-05
"miRNA_ENSG00000283688.1__112299642__112299672",5.28946345318736,-1.7323658793601,0.0023161561727756
"miRNA_ENSG00000276857.1__112299657__112299687",7.21843246101794,-0.2170245114285,4.0789349402074e-05
"miRNA_ENSG00000284442.1__114174105__114174135",2.29860999025763,3.92207889929351,1.18867931981438e-06
"miRNA_ENSG00000284219.1__133247511__133247541",3.16612564889893,-1.46530150282041,0.0109189983410816
"miRNA_ENSG00000284219.1__133247526__133247556",3.16612124214952,-1.46530150282041,0.0109093298733326
"miRNA_ENSG00000284219.1__133247541__133247571",3.01623824202398,-1.31707279035234,0.00624303225694304
"miRNA_ENSG00000275669.1__1256605__1256635",4.78867001851292,-2.06149534926395,0.0327094253624871
"miRNA_ENSG00000275669.1__1256620__1256650",4.78866101361653,-2.06149534926395,0.0326782032079813
"miRNA_ENSG00000284010.1__1996759__1996789",3.59870457743424,-0.446230488047246,5.85627554687803e-05
"miRNA_ENSG00000284010.1__1996774__1996804",3.85859189681849,-0.225038152417545,9.85114486709479e-06
"miRNA_ENSG00000284010.1__1996789__1996819",5.96009715968863,-1.26411334476083,6.19481645959728e-05
"miRNA_ENSG00000284010.1__1996819__1996831",5.94701849044558,-1.27398170927507,6.27972173944071e-05
"miRNA_ENSG00000207805.3__2134134__2134164",6.80142511321831,3.98729537573672,3.54455430602134e-08
"miRNA_ENSG00000207805.3__2134149__2134179",6.90345257274031,4.55299239450641,4.90375871141064e-08
"miRNA_ENSG00000207805.3__2134164__2134194",6.44320716739935,6.41081143722374,2.4481635667689e-06
"miRNA_ENSG00000207805.3__2134179__2134209",6.44320716826024,6.41081143722374,2.44856387670927e-06
"miRNA_ENSG00000265258.1__2173063__2173093",6.00757086510011,-0.138427699394753,0.000107279267783198
"miRNA_ENSG00000265258.1__2173078__2173108",6.00757826384897,-0.138427699394753,0.000107607110247306
"miRNA_ENSG00000265258.1__2173093__2173123",4.20442057815522,-2.35611793046531,0.0319179553303216
"miRNA_ENSG00000284525.1__3856062__3856092",-3.12123272435331,-2.56623822470632,1.67391956594006e-05
"miRNA_ENSG00000284525.1__3856077__3856107",-3.12122779013664,-2.56623822470632,1.67572429760318e-05
"miRNA_ENSG00000199077.3__43581394__43581424",5.41255225168601,3.54474508111583,0.000196749241225316
"miRNA_ENSG00000199077.3__43581409__43581439",5.41255222386862,3.54474508111583,0.000196783926658426
"miRNA_ENSG00000199077.3__43581424__43581454",5.4114088835745,3.54361714615628,0.000187391496750973
"miRNA_ENSG00000263693.1__48096782__48096812",4.05545891263594,-1.16731403952976,0.0359400651300999
"miRNA_ENSG00000263693.1__48096797__48096827",4.0554589792806,-1.16731403952976,0.0359263357597323
"miRNA_ENSG00000275344.1__60209071__60209101",2.25719108197659,2.47415601352657,0.000218273993337239
"miRNA_ENSG00000275344.1__60209086__60209116",2.25386042641638,2.48057352373144,0.000232872251612726
"miRNA_ENSG00000266006.1__61508596__61508626",6.10601975618037,3.44393102239984,2.63111771831523e-06
"miRNA_ENSG00000266006.1__61508611__61508641",6.10601986651629,3.44393102239984,2.63216725268214e-06
"miRNA_ENSG00000276102.1__62567011__62567041",2.88062501537788,2.75750454790768,5.2615112275728e-07
"miRNA_ENSG00000276102.1__62567026__62567056",2.88203180865433,2.75883161173468,5.25360328508178e-07
"miRNA_ENSG00000284535.1__62789815__62789845",-2.48875392095967,-2.40198474311297,0.00441167597955487
"miRNA_ENSG00000284535.1__62789830__62789860",-2.48873155101609,-2.40198474311297,0.0044074825606418
"miRNA_ENSG00000283926.1__64891137__64891167",2.84465615071757,-0.897903408166854,0.000278145857185322
"miRNA_ENSG00000283926.1__64891152__64891182",2.24122713070963,1.33371990555194,0.000498415416062134
"miRNA_ENSG00000283926.1__64891167__64891197",2.81368004575672,2.48268251529748,6.04509004559665e-06
"miRNA_ENSG00000283926.1__64891182__64891212",3.66035181646281,12.3781708113933,4.83340908024645e-10
"miRNA_ENSG00000283926.1__64891197__64891227",3.66037046882028,12.3781378125608,4.81733332154889e-10
"miRNA_ENSG00000283926.1__64891212__64891242",3.6603508632273,12.3781187113459,4.80120707012621e-10
"miRNA_ENSG00000284155.1__64891355__64891385",2.60450628884501,1.23331588466082,0.000175087420732829
"miRNA_ENSG00000284155.1__64891370__64891400",2.37304533514581,1.62072093494311,0.000109794311285069
"miRNA_ENSG00000284155.1__64891385__64891415",2.51394340005218,9.19059372889761,3.11522085423265e-06
"miRNA_ENSG00000284155.1__64891400__64891430",2.51387339181329,9.18616712355244,3.24865402880964e-06
"miRNA_ENSG00000274986.1__64898393__64898423",2.35218538484415,0.32763050991302,0.00340303523330331
"miRNA_ENSG00000274986.1__64898423__64898437",2.35218524180114,0.32763050991302,0.00339928230952527
"miRNA_ENSG00000266423.1__66934449__66934479",2.06240812313106,-0.235083059099471,0.00724630543400061
"miRNA_ENSG00000275022.1__68044914__68044944",3.0308226146663,-1.56053277688259,0.00616667466447808
"miRNA_ENSG00000275022.1__68044944__68044957",3.03085854254941,-1.56053277688259,0.00618829514049238
"miRNA_ENSG00000221333.1__70284015__70284045",-2.1089480628766,-2.79027603521384,0.036634231356722
"miRNA_ENSG00000221333.1__70284030__70284060",-2.10896443519788,-2.79027603521384,0.0366212873218222
"miRNA_ENSG00000263744.1__70872270__70872300",5.833131311773,-1.35759885859936,8.24488990878296e-05
"miRNA_ENSG00000263744.1__70872285__70872315",5.89989626765992,-1.30884001060534,8.11512755362781e-05
"miRNA_ENSG00000263744.1__70872300__70872330",6.05667719630083,-1.18971695825291,5.0588991009956e-05
"miRNA_ENSG00000199090.1__75335092__75335122",-4.88951751570066,7.36729301212334,1.62217183707498e-34
"miRNA_ENSG00000199090.1__75335107__75335137",-4.88884840520933,7.36735437917716,1.64097328822227e-34
"miRNA_ENSG00000199090.1__75335122__75335152",-4.8887149888542,7.36738948909565,1.6417735100157e-34
"miRNA_ENSG00000211997.1__79402022__79402052",3.93085954793582,1.70448282283532,2.29293888775675e-05
"miRNA_ENSG00000211997.1__79402037__79402067",3.93719618797178,1.71048852578774,2.02263248589617e-05
"miRNA_ENSG00000221586.1__90869151__90869181",-3.03047823680729,-2.70789250615187,0.00197360194985439
"miRNA_ENSG00000221586.1__90869166__90869196",-2.12616402393995,-2.60024136667643,0.0175557158191153
"miRNA_ENSG00000221586.1__90869196__90869202",-2.12616633509809,-2.60024136667643,0.0175533264549747
"miRNA_ENSG00000263885.1__101519820__101519850",-2.07934252778354,0.170613814165814,5.34367140876656e-06
"miRNA_ENSG00000263885.1__101519835__101519865",-2.07934374806799,0.170613814165814,5.3395563570033e-06
"miRNA_ENSG00000265140.1__113450038__113450068",3.18645011109218,-1.78714021036515,0.00100545497181684
"miRNA_ENSG00000265140.1__113450053__113450083",3.18645485406308,-1.78714021036515,0.00100383528936538
"miRNA_ENSG00000207971.1__122099757__122099787",3.71637492388334,1.04071502616092,2.10886154345912e-07
"miRNA_ENSG00000207971.1__122099772__122099802",3.74967387675959,1.07155739741411,1.29032829068325e-07
"miRNA_ENSG00000207971.1__122099787__122099817",2.01002133760728,6.80687856642432,0.000424487224835959
"miRNA_ENSG00000207994.1__122152229__122152259",2.58520873767238,-1.21948598001185,0.0283454485170328
"miRNA_ENSG00000207994.1__122152244__122152274",2.95384926638627,5.00871754847513,0.000231618296260728
"miRNA_ENSG00000207994.1__122152259__122152289",2.98464082750519,9.46482508234488,6.72883464240364e-06
"miRNA_ENSG00000207994.1__122152274__122152304",2.98464082751535,9.46482508234488,6.72832539854941e-06
"miRNA_ENSG00000207708.1__6964097__6964127",3.2947991162671,-0.895090596620276,0.011878683609552
"miRNA_ENSG00000207708.1__6964112__6964142",3.33552270936588,-0.678057607660386,0.0139415656170982
"miRNA_ENSG00000207708.1__6964127__6964157",3.13996833945475,4.56791782888401,0.0022354156659156
"miRNA_ENSG00000207708.1__6964142__6964172",3.12977642982608,4.54123437668344,0.00230855751758479
"miRNA_ENSG00000207708.1__6964157__6964187",3.12846909653468,4.53595325190619,0.00228995009993704
"miRNA_ENSG00000275770.1__48132827__48132857",2.95881792995087,0.39304198344634,1.61467355457498e-05
"miRNA_ENSG00000275770.1__48132857__48132867",2.95881838807711,0.39304198344634,1.61247880641142e-05
"miRNA_ENSG00000281842.2__48654444__48654474",5.29849314476099,7.18149846711423,7.75181596486852e-05
"miRNA_ENSG00000281842.2__48654459__48654489",5.29982779041155,7.18282091000561,7.73951759758382e-05
"miRNA_ENSG00000281842.2__48654474__48654504",5.16078965940259,7.21233289465197,1.84758710031475e-05
"miRNA_ENSG00000281842.2__48654489__48654519",5.1602368065532,7.21178535590438,1.8634388807568e-05
"miRNA_ENSG00000264201.1__48771990__48772020",-3.15269275427786,-0.406902382788178,1.25210611369379e-08
"miRNA_ENSG00000264201.1__48772005__48772035",-4.59222869260574,-0.836907165997417,1.63819568348367e-14
"miRNA_ENSG00000264201.1__48772035__48772037",-4.20406131927006,-2.07606640399075,1.31817406682202e-08
"miRNA_ENSG00000207571.1__54033980__54034010",7.3961567750145,4.6447360334336,7.84264085127127e-06
"miRNA_ENSG00000207571.1__54033995__54034025",7.5645543078569,4.63865930269593,5.31626583945768e-06
"miRNA_ENSG00000207571.1__54034010__54034040",7.56455430819257,4.63865930269593,5.3162624388728e-06
"miRNA_ENSG00000221365.1__57194504__57194534",4.6386548249159,2.45287219638745,3.72096929717093e-08
"miRNA_ENSG00000221365.1__57194519__57194549",4.62441373059757,2.43907354678534,3.8982831899797e-08
"miRNA_ENSG00000221365.1__57194534__57194564",4.33044547353776,-2.27894622481498,0.0113655800325434
"miRNA_ENSG00000221365.1__57194564__57194576",4.20192044268292,-2.34192931665734,0.0160230707070247
"miRNA_ENSG00000284152.1__57512688__57512718",-2.3724701072751,-2.23553381136427,0.00170830039120596
"miRNA_ENSG00000284152.1__57512718__57512748",3.07993073059036,-0.274161748831328,3.66560527100452e-06
"miRNA_ENSG00000284152.1__57512748__57512750",3.52052410030132,-0.326028376614916,4.16626107198039e-07
"miRNA_ENSG00000266016.3__64622509__64622539",-2.01925040001445,0.862212971421533,1.62766053164221e-06
"miRNA_ENSG00000266016.3__64622524__64622554",-2.01924353480421,0.862212971421533,1.61551727928565e-06
"miRNA_ENSG00000266016.3__64622539__64622569",-2.02490002986696,0.867434058660742,1.88535066089094e-06
"miRNA_ENSG00000265227.1__81158403__81158433",4.35057475238793,-2.27362737077416,0.0159670545593597
"miRNA_ENSG00000265227.1__81158418__81158448",4.12648771852366,-2.37672854323135,0.044028206566242
"miRNA_ENSG00000265227.1__81158448__81158461",4.12649161122632,-2.37672854323135,0.0440043205151348
"miRNA_ENSG00000221479.3__97491909__97491939",6.39741020506929,-0.852009479384928,0.0182792779339085
"miRNA_ENSG00000221479.3__97491924__97491954",6.39741358403208,-0.852009479384928,0.018266117261956
"miRNA_ENSG00000207586.1__97563812__97563842",-2.12933409898034,0.996484400555816,7.59722071566656e-06
"miRNA_ENSG00000207586.1__97563827__97563857",-2.12932886608469,0.996484400555816,7.57540011136585e-06
"miRNA_ENSG00000207586.1__97563857__97563887",4.85010749758807,0.475710074210377,0.00473099857361261
"miRNA_ENSG00000207586.1__97563872__97563902",5.4431850775835,0.463444871553451,0.00388585640880843
"miRNA_ENSG00000207622.1__108836908__108836938",3.75660978404951,1.52529483434253,5.46154226178401e-05
"miRNA_ENSG00000207622.1__108836923__108836953",3.71339553650792,1.58799094886762,3.50107143084029e-05
"miRNA_ENSG00000207622.1__108836938__108836968",2.36070064305389,2.02611748470487,0.000110706312476794
"miRNA_ENSG00000207622.1__108836953__108836983",2.35382043329745,2.04903301285103,0.000105708453231806
"miRNA_ENSG00000207622.1__108836968__108836998",2.35399673323389,2.04919182497306,0.000106668648824753
"miRNA_ENSG00000207622.1__108836998__108837006",2.68841077184176,-0.021986858449521,0.00113261033253415
"miRNA_ENSG00000274697.1__111799834__111799864",2.16759844915975,-1.55042396942498,0.0308233611880217
"miRNA_ENSG00000274697.1__111799849__111799879",2.16757975926921,-1.55042396942498,0.0307874666450893
"miRNA_ENSG00000207967.1__116148560__116148590",5.9588442410455,-0.166962584984742,0.000106240747710816
"miRNA_ENSG00000207967.1__116148575__116148605",4.49093159481096,-0.132656964642964,0.000314790752638008
"miRNA_ENSG00000207967.1__116148590__116148620",4.49826368672827,-0.126364389487182,0.000300312484349957
"miRNA_ENSG00000207967.1__116148605__116148635",4.50497179459139,-0.120567239449576,0.00027222043318519
"miRNA_ENSG00000207967.1__116148620__116148650",4.50497174619305,-0.120567239449576,0.000271953384349623
"miRNA_ENSG00000264037.1__116428252__116428282",2.89706315343801,1.47545022448536,0.00017959289638521
"miRNA_ENSG00000264037.1__116428267__116428297",2.89706254994822,1.47545022448536,0.000179160031466051
"miRNA_ENSG00000264037.1__116428282__116428312",3.43534390751135,-1.62608330622049,0.00317820656260398
